LECROYWR6050A,16172,Waveform
Segments,1,SegmentSize,2502
Segment,TrigTime,TimeSinceSegment1
#1,11-Jun-2009 13:00:58,0                 
Time,Ampl
4.945591e-007,-0.0900128
4.947591e-007,-0.0872851
4.949591e-007,-0.0894431
4.951591e-007,-0.0937589
4.953591e-007,-0.0965038
4.955591e-007,-0.0977641
4.957591e-007,-0.0987481
4.959591e-007,-0.0982302
4.961591e-007,-0.0952091
4.963591e-007,-0.0915147
4.965591e-007,-0.0883727
4.967591e-007,-0.0844021
4.969591e-007,-0.0797064
4.971591e-007,-0.077842
4.973591e-007,-0.0800862
4.975591e-007,-0.0829174
4.977591e-007,-0.0844539
4.979591e-007,-0.0856969
4.981591e-007,-0.0857659
4.983591e-007,-0.0844366
4.985591e-007,-0.0848337
4.987591e-007,-0.0872333
4.989591e-007,-0.0884936
4.991591e-007,-0.08839
4.993591e-007,-0.0881828
4.995591e-007,-0.0865773
4.997591e-007,-0.0832455
4.999591e-007,-0.0804488
5.001591e-007,-0.079413
5.003591e-007,-0.0792231
5.005591e-007,-0.0788087
5.007591e-007,-0.0784807
5.009591e-007,-0.0794302
5.011591e-007,-0.0814328
5.013591e-007,-0.0828484
5.015591e-007,-0.0828311
5.017591e-007,-0.0822614
5.019591e-007,-0.0829692
5.021591e-007,-0.0857659
5.023591e-007,-0.0885454
5.025591e-007,-0.0890633
5.027591e-007,-0.0881656
5.029591e-007,-0.0878548
5.031591e-007,-0.0883555
5.033591e-007,-0.0892532
5.035591e-007,-0.0909277
5.037591e-007,-0.093172
5.039591e-007,-0.0940352
5.041591e-007,-0.0921362
5.043591e-007,-0.0897193
5.045591e-007,-0.0904616
5.047591e-007,-0.0933101
5.049591e-007,-0.0936208
5.051591e-007,-0.0908932
5.053591e-007,-0.0888216
5.055591e-007,-0.0890805
5.057591e-007,-0.0901681
5.059591e-007,-0.0907896
5.061591e-007,-0.0915319
5.063591e-007,-0.0937762
5.065591e-007,-0.0971944
5.067591e-007,-0.0988171
5.069591e-007,-0.0965038
5.071591e-007,-0.0927577
5.073591e-007,-0.0926023
5.075591e-007,-0.0961931
5.077591e-007,-0.0976087
5.079591e-007,-0.0951228
5.081591e-007,-0.0947947
5.083591e-007,-0.0994559
5.085591e-007,-0.103461
5.087591e-007,-0.101597
5.089591e-007,-0.0958651
5.091591e-007,-0.0913938
5.093591e-007,-0.0901681
5.095591e-007,-0.0912557
5.097591e-007,-0.0931202
5.099591e-007,-0.093897
5.101591e-007,-0.0921189
5.103591e-007,-0.0898574
5.105591e-007,-0.0912903
5.107591e-007,-0.0956924
5.109591e-007,-0.0971944
5.111591e-007,-0.0941042
5.113591e-007,-0.09167
5.115591e-007,-0.0935
5.117591e-007,-0.0965556
5.119591e-007,-0.0958133
5.121591e-007,-0.0912903
5.123591e-007,-0.0879757
